Date,Average,Median
2021-02-04,128.19,100.5
2021-02-03,121.16,72.0
2021-02-02,135.02,115.5
2021-02-01,146.44,125
2021-01-31,159.36,176
2021-01-30,-1,-1
2021-01-29,83,83.0
2021-01-28,152.77,135
2021-01-27,289.2,333.0
2021-01-26,334.62,371.0
2021-01-24,-1,-1
2021-01-22,280.5,231.5
2021-01-21,-1,-1
2021-01-20,-1,-1
2021-01-19,159.83,96.5
2021-01-18,117,117
2021-01-17,60,60
2021-01-14,494,494
2021-01-13,-1,-1
2021-01-12,-1,-1
2020-12-02,-1,-1
2020-12-01,-1,-1
2020-11-27,-1,-1
2020-11-26,-1,-1
2020-11-19,-1,-1
2020-11-15,-1,-1
2020-11-05,-1,-1
2020-11-02,-1,-1
